date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2022-02-21T00:00:00+00:00,0,0,11520.7781539479,0,0,0,0,0,0,1457659.190931192,0,0,0,868240.9716151651627090,72095.824345825777,934716.266523720486,0,0,227163.7910280000000000
2022-02-20T00:00:00+00:00,0,0,0,0,0,0,0,0,0,994.2490247994189,0,0,0,0,643.1801792778960477,405528.708385016126,0,0,0
2022-02-19T00:00:00+00:00,0,2690.8743884008,0,0,0,0,0,0,0,6934.4393131169,0,1044060.9964808415,0,0,621217.341755285311,0,0,0,0
2022-02-18T00:00:00+00:00,0,0,0,0,0,0,0,0,0,20893.528520714386,0,0,453350.907702913634,2983239.754458577655,424077.328129644400,0,0,0,0
2022-02-17T00:00:00+00:00,0,0,0,0,0,0,0,0,0,13710.455251200901,939053.6832396587,0,0,1003.0698247782959013,0,2348279.580544441913,0,0,0
2022-02-16T00:00:00+00:00,0,44495.7353124986,0,0,0,0,0,0,0,738478.6945943933,0,0,0,34957.1445666740164122,895596.813776276169,0,0,0,245.3822830000000000
2022-02-15T00:00:00+00:00,0,10386.2619195804,0,63930.16600228321,0,0,0,0,0,420631.11274772615,0,9148.19714078495,0,1406046.994201566684,1058585.191187048845,112295.377720892651,0,232865.953635000000,0
2022-02-14T00:00:00+00:00,0,6282.091928193499,0,0,0,0,0,0,0,9489649.525267811,10505020.269914906,2493073.022539909,0,2135156.8119401683887514,0,822533.497175186661,0,0,1.4987050000000000
2022-02-13T00:00:00+00:00,0,0,0,0,0,0,0,0,0,4488.613376302788,0,145.47026145610565,0,73183.194906159711,0,307859.4892119471027510,0,0,0
2022-02-12T00:00:00+00:00,0,0,0,0,0,0,0,0,0,2917512.898695888,0,490945.57686642744,0,0,4660.6227542030324505,349147.969730981775,0,0,0
2022-02-11T00:00:00+00:00,0,0,6116.23268826,0,0,0,0,0,0,3152323.1841376526,0,2529264.562786844,0,0,13399.955063765305,93736.811407969385,19.9934817170474493,0,0
2022-02-10T00:00:00+00:00,20191.99485475832,0,0,0,0,0,3317.7058990000000000,0,0,707953.6397348068,0,2001987.5149148838,0,511461.9357495738493626,749269.026281329132,7656.8064063570387171,0,0,0
2022-02-09T00:00:00+00:00,0,0,0,0,0,0,562.9224340000000000,0,0,658718.4843084611,0,1560.3495875154294,0,29869.132262017778,698031.928787183290,318702.023051265887,0,0,0
